Date,Abgabe
2017-01-02,
2017-01-03,
2017-01-04,
2017-01-10,
2017-01-11,
2017-01-13,
2017-01-17,807.0528571428571
2017-01-19,1239.7985714285714
2017-01-23,1261.2757142857142
2017-01-31,1379.91
2017-02-06,1545.7057142857143
2017-02-20,1704.4485714285713
2017-02-21,2641.117142857143
2017-02-23,2627.207142857143
2017-02-27,2456.402857142857
2017-03-03,2262.2657142857142
2017-03-13,2622.238571428571
2017-03-15,2761.8571428571427
2017-03-20,2682.7914285714287
2017-03-21,1710.3799999999999
2017-03-27,1673.6085714285716
2017-03-29,1701.597142857143
2017-04-03,1766.4157142857143
2017-04-07,1262.0357142857142
2017-04-18,964.7871428571428
2017-04-25,816.1642857142858
2017-05-04,731.7057142857144
2017-05-09,980.4142857142857
2017-05-10,756.9857142857143
2017-05-18,1004.3985714285715
2017-05-19,1000.5285714285714
2017-05-22,1634.5414285714287
2017-05-25,1671.3942857142858
2017-05-29,1740.1614285714284
2017-06-06,1391.2271428571428
2017-06-08,1435.8671428571429
2017-06-13,1346.7671428571427
2017-06-14,1521.445714285714
2017-06-15,1336.0671428571427
2017-06-20,1679.2485714285715
2017-06-26,1866.742857142857
2017-06-27,2097.0442857142857
2017-06-28,2040.7257142857143
2017-06-30,1922.6914285714286
2017-07-03,1993.9742857142858
2017-07-09,1590.5542857142857
2017-07-10,1292.6828571428573
2017-07-18,1116.8057142857144
2017-07-19,1163.4614285714285
2017-07-25,1580.9185714285716
2017-07-31,1420.212857142857
2017-08-02,1230.8285714285714
2017-08-03,1211.2285714285715
2017-08-08,2022.9585714285715
2017-08-16,2094.5814285714287
2017-08-20,2284.4185714285713
2017-08-21,1946.9014285714288
2017-08-28,1874.0357142857142
2017-08-31,1859.5285714285715
2017-09-04,1910.41
2017-09-05,1121.6471428571429
2017-09-11,1079.8357142857144
2017-09-12,552.1185714285714
2017-09-18,501.89142857142855
2017-09-25,938.4871428571429
2017-09-27,895.2928571428572
2017-10-02,901.1914285714286
2017-10-05,961.0571428571428
2017-10-17,921.9999999999999
2017-10-24,962.1142857142858
2017-10-30,1023.3685714285714
2017-11-02,733.8185714285713
2017-11-06,802.5200000000001
2017-11-07,947.0414285714286
2017-11-08,782.0457142857142
2017-11-09,730.1442857142857
2017-11-15,773.8028571428571
2017-11-17,582.5871428571429
2017-11-20,567.7642857142857
2017-11-21,649.4642857142857
2017-11-22,501.3371428571428
2017-11-24,501.3371428571428
2017-12-04,510.80285714285714
2017-12-06,415.68285714285713
2017-12-08,964.9942857142856
2017-12-11,955.4714285714286
2017-12-14,805.0699999999999
2017-12-18,875.8214285714286
2017-12-19,1490.682857142857
2017-12-20,2213.7814285714285
2018-01-03,2213.7814285714285
2018-01-09,2726.04
2018-01-10,2640.6685714285713
2018-01-11,2759.914285714286
2018-01-15,2665.402857142857
2018-01-16,2179.2514285714287
2018-01-18,1427.45
2018-01-22,1648.3071428571427
2018-01-25,610.7357142857143
2018-01-29,688.7442857142858
2018-01-31,569.4985714285714
2018-02-02,506.30428571428575
2018-02-03,453.8614285714286
2018-02-06,583.9671428571429
2018-02-16,363.11
2018-02-19,506.36571428571426
2018-02-20,542.1271428571429
2018-02-22,607.8485714285715
2018-02-28,857.3614285714286
2018-03-02,937.5357142857143
2018-03-05,1127.5671428571427
2018-03-06,1685.5657142857142
2018-03-07,1752.6442857142854
2018-03-08,1601.5457142857142
2018-03-13,1769.2285714285713
2018-03-14,1691.405714285714
2018-03-16,1534.9642857142856
2018-03-19,1873.922857142857
2018-03-20,1315.9242857142858
2018-03-21,1064.19
2018-03-22,1162.6185714285714
2018-03-23,1654.607142857143
2018-03-26,1757.5314285714285
2018-03-27,2719.4271428571433
2018-03-28,2220.4828571428575
2018-03-29,2220.4828571428575
2018-04-03,2466.9071428571433
2018-04-05,2368.4785714285717
2018-04-06,2002.8942857142858
2018-04-09,1932.2485714285717
2018-04-10,1392.3542857142857
2018-04-11,1334.8899999999999
2018-04-12,1334.8899999999999
2018-04-13,1088.4657142857143
2018-04-19,1088.4657142857143
2018-04-20,728.657142857143
2018-04-23,976.1671428571428
2018-04-25,554.1657142857143
2018-04-26,451.47857142857146
2018-04-27,451.47857142857146
2018-04-30,604.2085714285714
2018-05-08,744.1642857142858
2018-05-14,1502.1642857142858
2018-05-15,1050.6857142857143
2018-05-16,1050.6857142857143
2018-05-17,1050.6857142857143
2018-05-18,1050.6857142857143
2018-05-21,897.9557142857144
2018-05-22,996.5771428571428
2018-05-23,351.0128571428572
2018-05-24,351.0128571428572
2018-05-28,427.3371428571428
2018-05-29,838.0714285714286
2018-05-30,1204.9314285714286
2018-05-31,1204.9314285714286
2018-06-04,966.3542857142857
2018-06-06,935.7657142857142
2018-06-07,1037.4157142857143
2018-06-11,1063.6771428571428
2018-06-12,797.01
2018-06-13,1089.4571428571428
2018-06-14,1165.3799999999999
2018-06-15,1254.5914285714284
2018-06-18,1389.182857142857
2018-06-19,1413.2042857142858
2018-06-20,1310.6185714285712
2018-06-21,1166.5514285714285
2018-06-22,507.2442857142856
2018-06-25,431.32142857142844
2018-06-26,583.2742857142856
2018-06-27,1400.4242857142856
2018-06-28,1274.752857142857
2018-07-03,3015.9585714285713
2018-07-05,3015.9585714285713
2018-07-11,4675.722857142857
2018-07-12,4675.722857142857
2018-07-13,5512.929999999999
2018-07-14,6326.081428571429
2018-07-17,9695.614285714286
2018-07-18,8034.53
2018-07-19,8291.084285714287
2018-07-20,6700.4800000000005
2018-07-24,7654.409999999999
2018-07-25,6714.068571428572
2018-07-27,5900.4457142857145
2018-07-30,2923.4928571428572
2018-08-03,2886.1200000000003
2018-08-06,4570.998571428571
2018-08-07,4501.838571428571
2018-08-08,3776.9585714285713
2018-08-09,3915.8914285714286
2018-08-10,2940.7771428571427
2018-08-14,3382.2042857142856
2018-08-15,3339.4557142857143
2018-08-16,1499.32
2018-08-17,1641.6057142857142
2018-08-21,1557.9785714285713
2018-08-22,1465.952857142857
2018-08-23,1413.9071428571426
2018-08-24,1708.9385714285713
2018-08-27,2585.3128571428574
2018-08-28,2534.121428571428
2018-08-29,2836.0128571428572
2018-08-31,2777.5142857142855
2018-09-03,2592.577142857143
2018-09-04,2649.2428571428572
2018-09-05,1608.7257142857145
2018-09-06,924.8214285714286
2018-09-11,3959.4971428571434
2018-09-12,3751.941428571429
2018-09-13,3798.6500000000005
2018-09-14,4026.7400000000007
2018-09-17,4290.721428571429
2018-09-18,4243.910000000001
2018-09-19,4051.44
2018-09-20,966.6585714285715
2018-09-21,775.6800000000001
2018-09-26,696.0028571428572
2018-09-27,1393.7985714285714
2018-09-28,1067.1942857142856
2018-10-03,1119.0942857142857
2018-10-04,1995.3757142857141
2018-10-05,3400.9285714285716
2018-10-08,4183.138571428572
2018-10-09,4210.33
2018-10-11,6526.621428571429
2018-10-15,7566.002857142857
2018-10-17,7472.392857142857
2018-10-18,6985.232857142857
2018-10-19,5719.607142857143
2018-10-23,4951.142857142857
2018-10-24,4908.534285714285
2018-10-25,1833.5671428571427
2018-10-26,1562.2042857142858
2018-10-29,2374.5499999999997
2018-10-30,2096.9514285714286
2018-11-02,1957.0242857142857
2018-11-05,1897.6357142857144
2018-11-07,2280.4142857142856
2018-11-08,2375.4857142857145
2018-11-09,2762.2842857142855
2018-11-15,1949.9385714285713
2018-11-19,1953.0128571428572
2018-11-21,2866.88
2018-11-26,2996.41
2018-11-28,2643.002857142857
2018-11-29,2444.718571428572
2018-12-03,1367.412857142857
2018-12-04,1367.412857142857
2018-12-05,1252.8157142857142
2018-12-06,466.63714285714286
2018-12-11,438.6871428571429
2018-12-12,526.3742857142857
2018-12-13,1555.3671428571429
2018-12-17,1477.8557142857142
2018-12-19,1643.2371428571428
2018-12-20,1796.8500000000001
2018-12-27,1736.222857142857
2019-01-01,2260.905714285714
2019-01-03,2351.697142857143
2019-01-04,2436.824285714286
2019-01-05,2632.0214285714287
2019-01-08,2582.7042857142856
2019-01-09,2429.0914285714284
2019-01-10,2660.84
2019-01-12,2103.197142857143
2019-01-14,4634.834285714286
